organizzazione_id,partita_iva,ragione_sociale,categoria_soggetto,settore,sottosettore,sezione,progressivo,codice_elemento,descrizione_elemento,dettaglio,criticita,riferimento,paese,email_contatto,data_estrazione
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),6-ASSET_CRITICI,5,ZNT-SER-01,Piattaforma di serializzazione,Tipo: Applicazione software; classificazione: Riservato; RTO: 120 min; RPO: 5 min; ubicazione: Stabilimento di Paternò - Paternò,CRITICA,Marco Distefano,,m.distefano@zagara-neuro.example,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),6-ASSET_CRITICI,6,ZNT-BCK-01,Backup immutabile in cloud,Tipo: Infrastruttura cloud; classificazione: Riservato; RTO: 240 min; RPO: 60 min; ubicazione: Cloud/infrastruttura di terzi,ALTA,Antonino Scuderi,,a.scuderi@zagara-neuro.example,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),6-ASSET_CRITICI,7,ZNT-ERP-01,ERP gestionale,Tipo: Servizio applicativo cloud; classificazione: Riservato; RTO: 480 min; RPO: 60 min; ubicazione: Cloud/infrastruttura di terzi,ALTA,Antonino Scuderi,,a.scuderi@zagara-neuro.example,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),6-ASSET_CRITICI,8,ZNT-LIMS-01,LIMS controllo qualità,Tipo: Servizio applicativo cloud; classificazione: Strettamente riservato; RTO: 480 min; RPO: 60 min; ubicazione: Cloud/infrastruttura di terzi,ALTA,Marco Distefano,,m.distefano@zagara-neuro.example,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),7-FORNITORI_RILEVANTI,1,C-ZNT-2022-002,Elymsol Energia S.p.A.,Oggetto: servizio ZNT-SRV-PROD; fornitura: Fornitura di energia elettrica; criterio: NON_FUNGIBILE; CPV: 09310000-5; clausole sicurezza: no; DPA: no,CRITICA,06182430824,IT,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),7-FORNITORI_RILEVANTI,2,C-ZNT-2024-011,TecPot Digital Services S.r.l.,Oggetto: asset ZNT-AD-01; fornitura: Servizi gestiti (MSP); criterio: TIC; CPV: 72600000-6; clausole sicurezza: sì; DPA: sì; dati trattati in: IT,CRITICA,03591720838,IT,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),7-FORNITORI_RILEVANTI,3,C-ZNT-2024-011,TecPot Digital Services S.r.l.,Oggetto: servizio ZNT-SRV-PROD; fornitura: Servizi di sicurezza gestiti (MSSP/SOC); criterio: TIC; CPV: 72000000-5; clausole sicurezza: sì; DPA: sì; dati trattati in: IT,CRITICA,03591720838,IT,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),7-FORNITORI_RILEVANTI,4,C-ZNT-2025-007,Alpen Pharma Logistik GmbH,Oggetto: servizio ZNT-SRV-DIST; fornitura: Logistica e trasporto; criterio: NON_FUNGIBILE; CPV: 60000000-8; clausole sicurezza: no; DPA: sì; dati trattati in: DE,ALTA,DE902718364,DE,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),7-FORNITORI_RILEVANTI,5,C-ZNT-2023-004,Gestionali Etnei S.r.l.,Oggetto: asset ZNT-ERP-01; fornitura: Applicazione in modalità SaaS; criterio: TIC; CPV: 48000000-8; clausole sicurezza: sì; DPA: sì; dati trattati in: IT,ALTA,08124700892,IT,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),7-FORNITORI_RILEVANTI,6,C-ZNT-2024-019,Helix LabSystems Inc.,Oggetto: asset ZNT-LIMS-01; fornitura: Applicazione in modalità SaaS; criterio: TIC; CPV: 48000000-8; clausole sicurezza: sì; DPA: sì; dati trattati in: US,ALTA,US5093318820,US,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),7-FORNITORI_RILEVANTI,7,C-ZNT-2024-021,Nuvola Mediterranea Cloud S.p.A.,Oggetto: asset ZNT-BCK-01; fornitura: Infrastruttura cloud (IaaS/PaaS); criterio: TIC; CPV: 72300000-8; clausole sicurezza: sì; DPA: sì; dati trattati in: IT,ALTA,07245910877,IT,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),8-CATEGORIZZAZIONE,1,ZNT-SRV-DIST,Distribuzione e tracciabilità dei medicinali,Macro-area: Logistica; categoria pre-assegnata: Impatto basso; perimetro NIS: sì; scostamento motivato: BIA 2026: la tracciabilità delle confezioni è obbligatoria; senza di essa i lotti non possono essere distribuiti.,Impatto alto,,,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),8-CATEGORIZZAZIONE,2,ZNT-SRV-FV,Farmacovigilanza,Macro-area: Monitoraggio e controllo; categoria pre-assegnata: Impatto alto; perimetro NIS: sì,Impatto alto,,,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),8-CATEGORIZZAZIONE,3,ZNT-SRV-PROD,Produzione di farmaci per terapie neurologiche,Macro-area: Produzione di beni e servizi; categoria pre-assegnata: Impatto medio; perimetro NIS: sì; scostamento motivato: BIA 2026: un fermo della produzione interrompe la fornitura di farmaci salvavita per i pazienti neurologici.,Impatto alto,,,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),8-CATEGORIZZAZIONE,4,ZNT-SRV-RD,Ricerca e sviluppo preclinico,"Macro-area: Ricerca, sviluppo e progettazione; categoria pre-assegnata: Impatto medio; perimetro NIS: no",Impatto medio,,,,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,1-ANAGRAFICA,1,06182430824,Elymsol Energia S.p.A.,"Sede legale: Via dei Mandorli 22, 90141 Palermo (PA); tel. +39 091 000 0200; e-mail: nis@elymsol-energia.example; dimensione: Grande impresa; dipendenti: 286; allegato I",,,IT,direzione@pec.elymsol-energia.example,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,2-PUNTI_DI_CONTATTO,1,MEMBRO_ORGANO_AMM,Membro dell'organo di amministrazione,Incarico dal 10/05/2023; tel. +39 091 000 0206,,Maria Concetta Butera,IT,mc.butera@elymsol-energia.example,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,2-PUNTI_DI_CONTATTO,2,MEMBRO_ORGANO_AMM,Membro dell'organo di amministrazione,Incarico dal 01/01/2020; tel. +39 091 000 0201,,Vincenzo Lombardo,IT,v.lombardo@elymsol-energia.example,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,2-PUNTI_DI_CONTATTO,3,PUNTO_CONTATTO,Punto di contatto NIS,Incarico dal 27/01/2025; tel. +39 091 000 0202,,Giovanna Riccobono,IT,g.riccobono@elymsol-energia.example,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,2-PUNTI_DI_CONTATTO,4,RAPPRESENTANTE_LEGALE,Rappresentante legale,Incarico dal 01/01/2020; tel. +39 091 000 0201,,Vincenzo Lombardo,IT,v.lombardo@elymsol-energia.example,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,2-PUNTI_DI_CONTATTO,5,REFERENTE_CSIRT,Referente CSIRT,Incarico dal 20/11/2025; tel. +39 0935 000 205,,Calogero Mangiapane,IT,c.mangiapane@elymsol-energia.example,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,2-PUNTI_DI_CONTATTO,6,REFERENTE_CSIRT,Referente CSIRT,Incarico dal 20/11/2025; tel. +39 091 000 0204,,Daniela Schifani,IT,d.schifani@elymsol-energia.example,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,2-PUNTI_DI_CONTATTO,7,SOSTITUTO_PUNTO_CONTATTO,Sostituto del punto di contatto,Incarico dal 27/01/2025; tel. +39 091 000 0203,,Filippo Cangemi,IT,f.cangemi@elymsol-energia.example,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,3-SPAZIO_IP,1,198.51.100.0/25,Centro di telecontrollo e servizi esposti,"IPv4, indirizzi: 128",,,,,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,3-SPAZIO_IP,2,2001:db8:5e::/48,Servizi pubblici IPv6,"IPv6, prefisso /48",,,,,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,4-DOMINI,1,elymsol-energia.example,Sito istituzionale e posta elettronica,,,,,,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,4-DOMINI,2,portale-elymsol.example,Area riservata clienti business,,,,,,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,5-SERVIZI,1,ELY-SRV-PROD,Produzione di energia elettrica da fonte fotovoltaica,Utenti impattati: 95000; Stati: IT; asset collegati: 4,CRITICA,Calogero Mangiapane,,,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,5-SERVIZI,2,ELY-SRV-PROG,Programmazione dell'immissione in rete,Utenti impattati: 95000; Stati: IT; asset collegati: 3,CRITICA,Calogero Mangiapane,,,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,6-ASSET_CRITICI,1,ELY-AD-01,Active Directory e accessi remoti,Tipo: Servizio di identità; classificazione: Riservato; RTO: 60 min; RPO: 15 min; ubicazione: Sede legale Palermo - Palermo,CRITICA,Calogero Mangiapane,,c.mangiapane@elymsol-energia.example,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,6-ASSET_CRITICI,2,ELY-FW-01,Firewall di segregazione IT/OT,Tipo: Infrastruttura di rete; classificazione: Riservato; RTO: 60 min; RPO: 0 min; ubicazione: Centro di telecontrollo Enna - Enna,CRITICA,Calogero Mangiapane,,c.mangiapane@elymsol-energia.example,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,6-ASSET_CRITICI,3,ELY-RTU-01,RTU e inverter dei parchi,Tipo: Sistema OT/ICS; classificazione: Uso interno; RTO: 240 min; RPO: 15 min; ubicazione: Parco fotovoltaico Gela - Gela,CRITICA,Calogero Mangiapane,,c.mangiapane@elymsol-energia.example,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,6-ASSET_CRITICI,4,ELY-SCADA-01,SCADA di telecontrollo impianti,Tipo: Sistema OT/ICS; classificazione: Riservato; RTO: 60 min; RPO: 0 min; ubicazione: Centro di telecontrollo Enna - Enna,CRITICA,Calogero Mangiapane,,c.mangiapane@elymsol-energia.example,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,6-ASSET_CRITICI,5,ELY-EMS-01,Sistema di previsione e programmazione,Tipo: Applicazione software; classificazione: Riservato; RTO: 240 min; RPO: 60 min; ubicazione: Centro di telecontrollo Enna - Enna,ALTA,Calogero Mangiapane,,c.mangiapane@elymsol-energia.example,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,6-ASSET_CRITICI,6,ELY-HIS-01,Historian dei dati di produzione,Tipo: Base di dati; classificazione: Uso interno; RTO: 480 min; RPO: 15 min; ubicazione: Centro di telecontrollo Enna - Enna,ALTA,Calogero Mangiapane,,c.mangiapane@elymsol-energia.example,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,7-FORNITORI_RILEVANTI,1,C-ELY-2023-015,NordGrid Automation AB,Oggetto: asset ELY-RTU-01; fornitura: Manutenzione e assistenza di sistemi OT/ICS; criterio: TIC; CPV: 50000000-5; clausole sicurezza: sì; DPA: no,CRITICA,SE559041872601,SE,,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,7-FORNITORI_RILEVANTI,2,C-ELY-2023-015,NordGrid Automation AB,Oggetto: asset ELY-SCADA-01; fornitura: Manutenzione e assistenza di sistemi OT/ICS; criterio: TIC; CPV: 50000000-5; clausole sicurezza: sì; DPA: no; dati trattati in: SE,CRITICA,SE559041872601,SE,,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,7-FORNITORI_RILEVANTI,3,C-ELY-2024-003,TecPot Digital Services S.r.l.,Oggetto: servizio ELY-SRV-PROD; fornitura: Servizi di sicurezza gestiti (MSSP/SOC); criterio: TIC; CPV: 72000000-5; clausole sicurezza: sì; DPA: sì; dati trattati in: IT,CRITICA,03591720838,IT,,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,7-FORNITORI_RILEVANTI,4,C-ELY-2022-009,Trinacria Fibra S.r.l.,Oggetto: servizio ELY-SRV-PROG; fornitura: Connettività e servizi di telecomunicazione; criterio: TIC; CPV: 64200000-8; clausole sicurezza: sì; DPA: no,CRITICA,05619380875,IT,,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,8-CATEGORIZZAZIONE,1,ELY-SRV-PROD,Produzione di energia elettrica da fonte fotovoltaica,Macro-area: Produzione di beni e servizi; categoria pre-assegnata: Impatto medio; perimetro NIS: sì; scostamento motivato: BIA 2026: l'indisponibilità del telecontrollo ferma la produzione immessa in rete.,Impatto alto,,,,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,8-CATEGORIZZAZIONE,2,ELY-SRV-PROG,Programmazione dell'immissione in rete,Macro-area: Produzione di beni e servizi; categoria pre-assegnata: Impatto medio; perimetro NIS: sì; scostamento motivato: BIA 2026: errori nei programmi di immissione incidono sul bilanciamento della rete.,Impatto alto,,,,2026-09-19
2,06182430824,Elymsol Energia S.p.A.,Soggetto essenziale,Energia,Energia elettrica,8-CATEGORIZZAZIONE,3,ELY-SRV-VEND,Vendita di energia a clienti business,Macro-area: Gestione dei clienti; categoria pre-assegnata: Impatto basso; perimetro NIS: no,Impatto basso,,,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),1-ANAGRAFICA,1,03591720838,TecPot Digital Services S.r.l.,"Sede legale: Via del Faro 9, 98122 Messina (ME); tel. +39 090 000 0300; e-mail: nis@tecpot-digital.example; dimensione: Media impresa; dipendenti: 138; allegato I",,,IT,amministrazione@pec.tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),2-PUNTI_DI_CONTATTO,1,MEMBRO_ORGANO_AMM,Membro dell'organo di amministrazione,Incarico dal 01/03/2015; tel. +39 090 000 0301,,Andrea Crisafulli,IT,a.crisafulli@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),2-PUNTI_DI_CONTATTO,2,PUNTO_CONTATTO,Punto di contatto NIS,Incarico dal 03/02/2025; tel. +39 090 000 0302,,Federica Saija,IT,f.saija@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),2-PUNTI_DI_CONTATTO,3,RAPPRESENTANTE_LEGALE,Rappresentante legale,Incarico dal 01/03/2015; tel. +39 090 000 0301,,Andrea Crisafulli,IT,a.crisafulli@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),2-PUNTI_DI_CONTATTO,4,REFERENTE_CSIRT,Referente CSIRT,Incarico dal 10/11/2025; tel. +39 0931 000 304,,Paola Cucinotta,IT,p.cucinotta@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),2-PUNTI_DI_CONTATTO,5,SOSTITUTO_PUNTO_CONTATTO,Sostituto del punto di contatto,Incarico dal 03/02/2025; tel. +39 090 000 0303,,Luca Mento,IT,l.mento@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),3-SPAZIO_IP,1,203.0.113.0/24,Data center e SOC,"IPv4, indirizzi: 256",,,,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),3-SPAZIO_IP,2,2001:db8:9e1::/48,Servizi gestiti IPv6,"IPv6, prefisso /48",,,,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),4-DOMINI,1,tecpot-digital.example,Sito istituzionale e posta elettronica,,,,,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),4-DOMINI,2,tecpot-soc.example,Portale clienti del SOC,,,,,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),5-SERVIZI,1,TDS-SRV-MSP,Servizi gestiti di infrastruttura IT (MSP),"Utenti impattati: 140; Stati: IT, MT; asset collegati: 4",CRITICA,Giorgio Previti,,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),5-SERVIZI,2,TDS-SRV-SOC,SOC gestito H24 (servizi di sicurezza gestiti),Utenti impattati: 60; Stati: IT; asset collegati: 4,CRITICA,Paola Cucinotta,,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),6-ASSET_CRITICI,1,TDS-AD-01,Active Directory e PAM,Tipo: Servizio di identità; classificazione: Strettamente riservato; RTO: 60 min; RPO: 15 min; ubicazione: Data center Messina - Messina,CRITICA,Giorgio Previti,,g.previti@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),6-ASSET_CRITICI,2,TDS-RMM-01,Piattaforma RMM di gestione remota,Tipo: Applicazione software; classificazione: Riservato; RTO: 120 min; RPO: 15 min; ubicazione: Data center Messina - Messina,CRITICA,Giorgio Previti,,g.previti@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),6-ASSET_CRITICI,3,TDS-SIEM-01,Piattaforma SIEM/SOAR del SOC,Tipo: Applicazione software; classificazione: Strettamente riservato; RTO: 60 min; RPO: 15 min; ubicazione: SOC Siracusa - Siracusa,CRITICA,Paola Cucinotta,,p.cucinotta@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),6-ASSET_CRITICI,4,TDS-VIRT-01,Cluster di virtualizzazione,Tipo: Hardware; classificazione: Riservato; RTO: 120 min; RPO: 15 min; ubicazione: Data center Messina - Messina,CRITICA,Giorgio Previti,,g.previti@tecpot-digital.example,2026-09-19
